"","lhs","rhs","est.std"
"1","wld","wld_1",0.727010245787188
"2","wld","wld_2",0.599088194980817
"3","wld","wld_3",0.86754659047729
"4","wld","wld_4",0.695810623765287
"5","rla","rla_1",0.801668130741622
"6","rla","rla_2",0.783366938773205
"7","rla","rla_3",0.810446411803607
"8","rla","rla_4",0.837363976791932
"9","rla","rla_5",0.808779239015967
"10","rla","rla_6",0.713599665663693
"11","wlb","wlb_1",0.901995838595902
"12","wlb","wlb_2",0.843268840975881
"13","wlb","wlb_3",0.87366232339359
"14","wlb","wlb_4",0.924479885616119
"15","rlc","rlc_1",0.598478304896644
"16","rlc","rlc_2",0.648351889112846
"17","rlc","rlc_3",0.616785954299193
"18","rlc","rlc_4",0.579633940814213
"19","rlc","rlc_5",0.687307455146874
"20","rlc","rlc_6",0.480235920653883
"21","opp","opp_1",0.741731542783597
"22","opp","opp_2",0.733724991096772
"23","opp","opp_3",0.899206358650754
"24","mng","mng_1",0.942946425131515
"25","mng","mng_2",0.845812923727184
"26","inf","inf_1",0.724468012680624
"27","inf","inf_2",0.696033060024821
"28","inf","inf_3",0.680814832163778
"29","inf","inf_4",0.822247949300374
"30","inf","inf_5",0.649525623464643
"31","inf","inf_6",0.762965293753961
"32","scs","scs_1",0.892637156953106
"33","scs","scs_2",0.914254035755793
"34","scs","scs_3",0.717540977464813
"35","scc","scc_1",0.852510658876059
"36","scc","scc_2",0.824950300190527
"37","scc","scc_3",0.556233518741345
"38","sec","sec_1",0.929802400257826
"39","sec","sec_2",0.823794777322094
"40","sec","sec_3",0.724107641875556
"41","sec","sec_4",0.887834348529529
"42","burnout","brt_1",0.775199563623074
"43","burnout","brt_2",0.826300076011135
"44","burnout","brt_3",0.621283497756405
"45","burnout","brt_4",0.65802250447886
"46","job_demands","wld",0.848474809965178
"47","job_demands","rla",0.582045942019825
"48","job_demands","wlb",0.706829007159764
"49","job_demands","rlc",0.6337100175387
"50","job_resources","opp",0.666360172564164
"51","job_resources","mng",0.671338042792145
"52","job_resources","inf",0.807311176708058
"53","job_resources","scs",0.484836183613094
"54","job_resources","scc",0.534946138843008
"55","job_resources","sec",0.436647555616025
